Dataset,Trees,Max Depth,Method,Train Acc,Train F1,Test Acc,Test F1,Leaves,Nodes,Avg Path Length
COMPAS-ProPublica,5,3,RandomForest,0.6542792792792793,0.6485967623149044,0.6483357452966715,0.642898211948384,40,75,3.0
COMPAS-ProPublica,5,4,RandomForest,0.6632882882882883,0.660318849000885,0.6657018813314037,0.6626177988724363,75,145,3.988712011577424
COMPAS-ProPublica,10,3,RandomForest,0.6563706563706564,0.6497834993722185,0.6657018813314037,0.6605328681484638,80,150,3.0
COMPAS-ProPublica,10,4,RandomForest,0.6705276705276705,0.6680149726785118,0.6714905933429812,0.6695548372176622,153,296,3.9907380607814757
FICO,5,3,RandomForest,0.7156060767024328,0.7142194651015916,0.7131931166347992,0.7123131409699287,40,75,3.0
FICO,5,4,RandomForest,0.7176245617762669,0.7153804405362665,0.7084130019120459,0.706829447075614,80,155,4.0
FICO,10,3,RandomForest,0.7122065228938702,0.7107571415182259,0.7122370936902486,0.7113232391443276,80,150,3.0
FICO,10,4,RandomForest,0.7168809093806437,0.7146927711728565,0.7055449330783938,0.7043001403696594,160,310,4.0
